iter	Passed	Remaining
777	20367	5811
778	20392	5785
779	20419	5759
780	20445	5733
781	20471	5706
782	20494	5679
783	20522	5654
784	20549	5628
785	20577	5602
786	20601	5575
787	20627	5549
788	20652	5523
789	20677	5496
790	20702	5470
791	20727	5443
792	20751	5416
793	20777	5390
794	20810	5366
795	20837	5340
796	20864	5314
797	20889	5287
798	20918	5262
799	20943	5235
800	20966	5209
801	20991	5182
802	21016	5155
803	21041	5129
804	21069	5103
805	21094	5077
806	21118	5050
807	21147	5025
808	21171	4998
809	21196	4972
810	21222	4945
811	21249	4919
812	21274	4893
813	21298	4866
814	21322	4840
815	21349	4814
816	21373	4787
817	21400	4761
818	21426	4735
819	21453	4709
820	21481	4683
821	21506	4657
822	21530	4630
823	21558	4604
824	21583	4578
825	21607	4551
826	21633	4525
827	21659	4499
828	21685	4473
829	21711	4446
830	21737	4420
831	21762	4394
832	21787	4368
833	21815	4342
834	21839	4315
835	21866	4289
836	21896	4264
837	21933	4240
838	21961	4214
839	21989	4188
840	22021	4163
841	22053	4138
842	22079	4111
843	22102	4085
844	22129	4059
845	22152	4032
846	22177	4006
847	22203	3979
848	22229	3953
849	22253	3927
850	22278	3900
851	22303	3874
852	22329	3848
853	22354	3821
854	22378	3795
855	22405	3769
856	22432	3743
857	22458	3716
858	22484	3690
859	22509	3664
860	22533	3637
861	22557	3611
862	22583	3585
863	22609	3558
864	22638	3533
865	22664	3507
866	22694	3481
867	22720	3455
868	22747	3429
869	22778	3403
870	22807	3377
871	22843	3353
872	22869	3327
873	22894	3300
874	22920	3274
875	22947	3248
876	22974	3222
877	23000	3195
878	23025	3169
879	23051	3143
880	23076	3116
881	23102	3090
882	23129	3064
883	23155	3038
884	23180	3012
885	23205	2985
886	23230	2959
887	23255	2933
888	23282	2906
889	23308	2880
890	23335	2854
891	23359	2828
892	23387	2802
893	23413	2776
894	23440	2749
895	23465	2723
896	23489	2697
897	23516	2671
898	23542	2644
899	23568	2618
900	23595	2592
901	23620	2566
902	23646	2540
903	23673	2514
904	23697	2487
905	23722	2461
906	23750	2435
907	23776	2409
908	23802	2382
909	23830	2356
910	23858	2330
911	23884	2304
912	23908	2278
913	23933	2251
914	23959	2225
915	23984	2199
916	24009	2173
917	24037	2147
918	24061	2120
919	24086	2094
920	24110	2068
921	24136	2041
922	24160	2015
923	24187	1989
924	24214	1963
925	24243	1937
926	24271	1911
927	24296	1885
928	24323	1858
929	24354	1833
930	24380	1806
931	24399	1780
932	24434	1754
933	24451	1727
934	24475	1701
935	24500	1675
936	24529	1649
937	24553	1622
938	24579	1596
939	24605	1570
940	24630	1544
941	24654	1518
942	24681	1491
943	24707	1465
944	24735	1439
945	24761	1413
946	24801	1388
947	24828	1361
948	24854	1335
949	24879	1309
950	24906	1283
951	24930	1257
952	24954	1230
953	24978	1204
954	25003	1178
955	25030	1152
956	25057	1125
957	25083	1099
958	25112	1073
959	25136	1047
960	25164	1021
961	25193	995
962	25218	968
963	25242	942
964	25268	916
965	25295	890
966	25322	864
967	25347	837
968	25371	811
969	25400	785
970	25426	759
971	25451	733
972	25479	707
973	25510	680
974	25536	654
975	25563	628
976	25588	602
977	25614	576
978	25638	549
979	25673	523
980	25699	497
981	25727	471
982	25753	445
983	25778	419
984	25804	392
985	25829	366
986	25855	340
987	25891	314
988	25916	288
989	25942	262
990	25966	235
991	25990	209
992	26014	183
993	26044	157
994	26069	131
995	26096	104
996	26122	78
997	26149	52
998	26176	26
999	26200	0
